,word,lemma,onset,offset,section,sentence_index
13446,peu,peu,578.06,578.26,8,1440
13447,si,si,578.26,578.47,8,1440
13448,l',l',578.47,578.5,8,1440
13449,on,on,578.5,578.6,8,1440
13450,s',s',578.6,578.7,8,1440
13451,est,est,578.7,578.76,8,1440
13452,laissé,laissé,578.76,579.08,8,1440
13453,apprivoiser,apprivoiser,579.08,579.74,8,1440
13454,il,il,3.4,3.46,9,1441
13455,y,y,3.52,3.67,9,1441
13456,avait,avait,3.73,4.04,9,1441
13457,à,à,4.37,4.41,9,1441
13458,côté,côté,4.49,4.95,9,1441
13459,du,de,4.95,5.0,9,1441
13460,puits,puits,5.05,5.31,9,1441
13461,une,une,5.62,5.82,9,1441
13462,ruine,ruine,5.82,6.33,9,1441
13463,de,de,6.33,6.52,9,1441
13464,vieux,vieux,6.52,6.81,9,1441
13465,mur,mur,6.81,7.11,9,1441
13466,de,de,7.11,7.28,9,1441
13467,pierre,pierre,7.28,7.83,9,1441
13468,lorsque,lorsque,8.45,8.9,9,1442
13469,je,je,8.9,9.06,9,1442
13470,revins,revins,9.06,9.42,9,1442
13471,de,de,9.42,9.53,9,1442
13472,mon,mon,9.53,9.67,9,1442
13473,travail,travail,9.67,10.32,9,1442
13474,le,le,10.57,10.73,9,1442
13475,lendemain,lendemain,10.73,11.25,9,1442
13476,soir,soir,11.25,11.82,9,1442
13477,j',j',12.3,12.47,9,1442
13478,aperçus,aperçus,12.47,13.01,9,1442
13479,de,de,13.01,13.13,9,1442
13480,loin,loin,13.13,13.42,9,1442
13481,mon,mon,13.42,13.59,9,1442
13482,petit,petit,13.59,13.9,9,1442
13483,prince,prince,13.9,14.4,9,1442
13484,assis,assis,14.4,14.91,9,1442
13485,là,là,14.91,15.08,9,1442
13486,-haut,haut,15.08,15.24,9,1442
13487,les,les,15.49,15.69,9,1443
13488,jambes,jambes,15.69,16.1,9,1443
13489,pendantes,pendantes,16.1,16.77,9,1443
13490,et,et,17.53,17.6,9,1444
13491,je,je,17.6,17.71,9,1444
13492,l',l',17.71,17.78,9,1444
13493,entendis,entendis,17.78,18.29,9,1444
13494,qui,qui,18.29,18.44,9,1444
13495,parlait,parlait,18.44,18.87,9,1444
13496,tu,tu,20.04,20.29,9,1445
13497,ne,ne,20.29,20.32,9,1445
13498,t',t',20.32,20.36,9,1445
13499,en,en,20.36,20.43,9,1445
13500,souviens,souviens,20.43,20.74,9,1445
13501,donc,donc,20.74,20.98,9,1445
13502,pas,pas,20.98,21.23,9,1445
13503,disait,disait,21.58,22.03,9,1445
13504,-il,il,22.03,22.37,9,1445
13505,ce,ce,22.86,23.04,9,1446
13506,n',n',23.04,23.1,9,1446
13507,est,est,23.1,23.21,9,1446
13508,pas,pas,23.21,23.34,9,1446
13509,tout,tout,23.34,23.54,9,1446
13510,à,à,23.54,23.6,9,1446
13511,fait,fait,23.6,23.84,9,1446
13512,ici,ici,23.84,24.22,9,1446
13513,une,une,25.19,25.42,9,1447
13514,autre,autre,25.42,25.71,9,1447
13515,voix,voix,25.71,25.91,9,1447
13516,lui,lui,25.91,26.07,9,1447
13517,répondit,répondit,26.07,26.6,9,1447
13518,sans,sans,26.6,26.78,9,1447
13519,doute,doute,26.78,27.14,9,1447
13520,puisqu',puisqu,27.29,27.57,9,1447
13521,il,il,27.57,27.64,9,1447
13522,répliqua,répliqua,27.64,28.14,9,1447
13523,si,si,28.71,29.0,9,1447
13524,si,si,29.1,29.36,9,1447
13525,c',c',29.56,29.68,9,1447
13526,est,est,29.68,29.81,9,1447
13527,bien,bien,29.81,29.96,9,1447
13528,le,le,29.96,30.08,9,1447
13529,jour,jour,30.08,30.47,9,1447
13530,mais,mais,30.53,30.67,9,1448
13531,ce,ce,30.67,30.82,9,1448
13532,n',n',30.82,30.89,9,1448
13533,est,est,30.89,30.98,9,1448
13534,pas,pas,30.98,31.17,9,1448
13535,ici,ici,31.17,31.49,9,1448
13536,l',l',31.49,31.53,9,1448
13537,endroit,endroit,31.53,31.85,9,1448
13538,je,je,33.18,33.44,9,1449
13539,poursuivis,poursuivis,33.44,33.93,9,1449
13540,ma,ma,33.93,34.08,9,1449
13541,marche,marche,34.08,34.47,9,1449
13542,vers,vers,34.47,34.62,9,1449
13543,le,le,34.62,34.74,9,1449
13544,mur,mur,34.74,35.15,9,1449
13545,je,je,35.73,35.9,9,1450
13546,ne,ne,35.9,36.05,9,1450
13547,voyais,voyais,36.05,36.44,9,1450
13548,ni,ni,36.44,36.61,9,1450
13549,n',n',36.61,36.69,9,1450
13550,entendais,entendais,36.69,37.16,9,1450
13551,toujours,toujours,37.16,37.64,9,1450
13552,personne,personne,37.64,38.07,9,1450
13553,pourtant,pourtant,39.05,39.43,9,1451
13554,le,le,39.43,39.59,9,1451
13555,petit,petit,39.59,39.86,9,1451
13556,prince,prince,39.86,40.26,9,1451
13557,répliqua,répliqua,40.26,40.78,9,1451
13558,de,de,40.78,40.9,9,1451
13559,nouveau,nouveau,40.9,41.25,9,1451
13560,bien,bien,42.01,42.21,9,1451
13561,sûr,sûr,42.21,42.69,9,1451
13562,tu,tu,43.02,43.19,9,1452
13563,verras,verras,43.23,43.52,9,1452
13564,où,où,43.52,43.63,9,1452
13565,commence,commence,43.63,44.0,9,1452
13566,ma,ma,44.0,44.11,9,1452
13567,trace,trace,44.11,44.44,9,1452
13568,dans,dans,44.44,44.55,9,1452
13569,le,le,44.55,44.63,9,1452
13570,sable,sable,44.63,45.13,9,1452
13571,tu,tu,45.63,45.77,9,1453
13572,n',n',45.77,45.83,9,1453
13573,as,as,45.83,45.88,9,1453
13574,qu',qu',45.88,46.01,9,1453
13575,à,à,46.01,46.06,9,1453
13576,m',m',46.06,46.13,9,1453
13577,y,y,46.13,46.21,9,1453
13578,attendre,attendre,46.21,46.71,9,1453
13579,j',j',47.06,47.19,9,1454
13580,y,y,47.19,47.27,9,1454
13581,serai,serai,47.27,47.61,9,1454
13582,cette,cette,47.61,47.97,9,1454
13583,nuit,nuit,47.97,48.25,9,1454
13584,j',j',49.778713,49.881127,9,1455
13585,étais,étais,49.881127,50.24,9,1455
13586,à,à,50.24,50.29,9,1455
13587,vingt,vingt,50.35,50.51,9,1455
13588,mètres,mètres,50.51,50.8,9,1455
13589,du,de,50.8,50.875,9,1455
13590,mur,mur,50.95,51.29,9,1455
13591,et,et,51.38,51.44,9,1455
13592,je,je,51.44,51.59,9,1455
13593,ne,ne,51.59,51.72,9,1455
13594,voyais,voyais,51.72,52.1,9,1455
13595,toujours,toujours,52.23,52.87,9,1455
13596,rien,rien,52.87,53.05,9,1455
13597,le,le,54.01,54.18,9,1456
13598,petit,petit,54.18,54.49,9,1456
13599,prince,prince,54.49,54.83,9,1456
13600,dit,dit,54.83,55.01,9,1456
13601,encore,encore,55.01,55.56,9,1456
13602,après,après,55.56,55.98,9,1456
13603,un,un,55.98,56.07,9,1456
13604,silence,silence,56.07,56.73,9,1456
13605,tu,tu,57.3,57.43,9,1457
13606,as,as,57.43,57.51,9,1457
13607,du,de,57.55,57.6,9,1457
13608,bon,bon,57.65,57.81,9,1457
13609,venin,venin,57.81,58.21,9,1457
13610,tu,tu,58.69,58.86,9,1458
13611,es,es,58.86,58.98,9,1458
13612,sûr,sûr,58.98,59.44,9,1458
13613,de,de,59.44,59.53,9,1458
13614,ne,ne,59.53,59.72,9,1458
13615,pas,pas,59.72,59.86,9,1458
13616,me,me,59.86,59.98,9,1458
13617,faire,faire,59.98,60.21,9,1458
13618,souffrir,souffrir,60.21,60.75,9,1458
13619,longtemps,longtemps,60.75,61.22,9,1458
13620,je,je,62.54,62.75,9,1459
13621,fis,fis,62.75,63.07,9,1459
13622,halte,halte,63.07,63.52,9,1459
13623,le,le,63.7,63.88,9,1459
13624,coeur,coeur,63.88,64.17,9,1459
13625,serré,serré,64.17,64.63,9,1459
13626,mais,mais,64.97,65.12,9,1459
13627,je,je,65.12,65.24,9,1459
13628,ne,ne,65.24,65.38,9,1459
13629,comprenais,comprenais,65.38,65.89,9,1459
13630,toujours,toujours,66.03,66.45,9,1459
13631,pas,pas,66.45,66.64,9,1459
13632,maintenant,maintenant,67.63,68.13,9,1460
13633,va,va,68.13,68.28,9,1460
13634,-t',t',68.32,68.41,9,1460
13635,en,en,68.41,68.59,9,1460
13636,dit,dit,68.8,69.1,9,1460
13637,-il,il,69.1,69.42,9,1460
13638,je,je,69.71,69.89,9,1461
13639,veux,veux,69.89,70.06,9,1461
13640,redescendre,redescendre,70.06,70.75,9,1461
13641,alors,alors,71.57,71.98,9,1462
13642,j',j',71.98,72.1,9,1462
13643,abaissai,abaissai,72.1,72.57,9,1462
13644,moi,moi,72.57,72.82,9,1462
13645,-même,même,72.82,73.09,9,1462
13646,les,les,73.09,73.39,9,1462
13647,yeux,yeux,73.39,73.57,9,1462
13648,vers,vers,73.57,73.72,9,1462
13649,le,le,73.72,73.85,9,1462
13650,pied,pied,73.85,74.12,9,1462
13651,du,de,74.12,74.185,9,1462
13652,mur,mur,74.25,74.66,9,1462
13653,et,et,74.8,74.91,9,1463
13654,je,je,74.91,75.11,9,1463
13655,fis,fis,75.11,75.44,9,1463
13656,un,un,75.44,75.61,9,1463
13657,bond,bond,75.76,75.94,9,1463
13658,il,il,76.85,77.04,9,1464
13659,était,était,77.04,77.4,9,1464
13660,là,là,77.4,77.65,9,1464
13661,dressé,dressé,77.87,78.43,9,1464
13662,vers,vers,78.43,78.58,9,1464
13663,le,le,78.58,78.7,9,1464
13664,petit,petit,78.7,78.97,9,1464
13665,prince,prince,78.97,79.55,9,1464
13666,un,un,79.81,79.97,9,1464
13667,de,de,79.97,80.08,9,1464
13668,ces,ces,80.08,80.24,9,1464
13669,serpents,serpents,80.24,80.68,9,1464
13670,jaunes,jaunes,80.68,81.11,9,1464
13671,qui,qui,81.11,81.26,9,1465
13672,vous,vous,81.26,81.46,9,1465
13673,exécutent,exécutent,81.46,82.05,9,1465
13674,en,en,82.05,82.21,9,1465
13675,trente,trente,82.27,82.65,9,1465
13676,secondes,secondes,82.65,83.27,9,1465
13677,tout,tout,84.4,84.62,9,1466
